Filtered No.,New_FIPS,County_FIPS,County,State,Chloropleth,Diagnosed Diabetes (%) ,Obesity (%) 
5,56045,56045,Weston County,Wyoming,LH,7.6,32
5,02158,02158,Kusilvak Census Area,Alaska,LL,7.4,22
5,46102,46102,Oglala Lakota County,South Dakota,HH,17.9,37.6
5,54021,54021,Gilmer County,West Virginia,MM,8.4,27.8
5,54023,54023,Grant County,West Virginia,HM,11.7,30.3
5,54025,54025,Greenbrier County,West Virginia,HH,10.6,34.1
5,54027,54027,Hampshire County,West Virginia,MH,8.3,33.4
5,54029,54029,Hancock County,West Virginia,MH,9.1,36.9
5,54031,54031,Hardy County,West Virginia,HH,9.4,32.7
5,54033,54033,Harrison County,West Virginia,HH,12.3,36.1
5,54035,54035,Jackson County,West Virginia,HH,11.9,39
5,54037,54037,Jefferson County,West Virginia,MM,9,30.1
5,54039,54039,Kanawha County,West Virginia,HH,12.6,37.2
5,54041,54041,Lewis County,West Virginia,HH,9.3,39
5,54043,54043,Lincoln County,West Virginia,HH,10.8,38
5,54045,54045,Logan County,West Virginia,HH,14.1,37.5
5,54047,54047,Mcdowell County,West Virginia,HH,10.2,37.3
5,54049,54049,Marion County,West Virginia,HH,11.6,35.2
5,54051,54051,Marshall County,West Virginia,HH,10.3,33.7
5,54053,54053,Mason County,West Virginia,HH,10.5,36.8
5,54055,54055,Mercer County,West Virginia,HH,13,36.9
5,54057,54057,Mineral County,West Virginia,HH,9.8,32.4
5,54059,54059,Mingo County,West Virginia,HH,14.2,35.6
5,54061,54061,Monongalia County,West Virginia,HM,9.8,29.6
5,54063,54063,Monroe County,West Virginia,HM,9.6,28.4
5,55137,55137,Waushara County,Wisconsin,MM,8,29.7
5,55139,55139,Winnebago County,Wisconsin,MH,7.9,36.1
5,55141,55141,Wood County,Wisconsin,LL,6.4,23.7
5,56001,56001,Albany County,Wyoming,MM,8.5,25.5
5,56003,56003,Big Horn County,Wyoming,HH,10.2,32.1
5,56005,56005,Campbell County,Wyoming,LH,7.3,30.9
5,56007,56007,Carbon County,Wyoming,LH,7.6,32.5
5,56009,56009,Converse County,Wyoming,LM,7.3,30.4
5,56011,56011,Crook County,Wyoming,LM,6.7,27
5,56013,56013,Fremont County,Wyoming,MM,8.3,27.6
5,56015,56015,Goshen County,Wyoming,LM,7,30.1
